iter	CrossEntropy
0	0.6236805748
1	0.5649110608
2	0.5231276747
3	0.4896324842
4	0.4640579644
5	0.4414513618
6	0.4233801203
7	0.4098292185
8	0.3995071866
9	0.3902769187
10	0.3831910986
11	0.3779762125
12	0.3734316624
13	0.3686677098
14	0.3645176564
15	0.3616600972
16	0.3587651393
17	0.3563155274
18	0.3547362414
19	0.3534180616
20	0.3516339236
21	0.3499924888
22	0.3485838943
23	0.3473737613
24	0.3462935889
25	0.3454479099
26	0.3446246607
27	0.3438336396
28	0.3428106928
29	0.3414257896
30	0.3400428393
31	0.3388468955
32	0.3382496898
33	0.3375404978
34	0.3367893334
35	0.3360092815
36	0.334974921
37	0.3344704591
38	0.3338378004
39	0.3329231903
40	0.3321743792
41	0.3315771005
42	0.330894945
43	0.330428306
44	0.3295738695
45	0.3290713626
46	0.3286428337
47	0.328194725
48	0.3278643937
49	0.3274452681
50	0.3269484184
51	0.3265314241
52	0.3260797639
53	0.3258521209
54	0.3256192942
55	0.3252773591
56	0.324654454
57	0.3243454242
58	0.324007926
59	0.3236413897
60	0.3232907813
61	0.3229697695
62	0.3226282333
63	0.3223178194
64	0.3220344925
65	0.3217134507
66	0.3212739464
67	0.320794545
68	0.3204211022
69	0.3200662632
70	0.3196019253
71	0.31934401
72	0.3190569359
73	0.3187743018
74	0.3184724611
75	0.3181771423
76	0.31787228
77	0.3174978115
78	0.3171820091
79	0.3169794638
80	0.3167401772
81	0.3164969584
82	0.3162615214
83	0.3158241847
84	0.3155894098
85	0.3151601604
86	0.3149358279
87	0.3147072894
88	0.3144527285
89	0.3140299126
90	0.3137733331
91	0.3135990489
92	0.3133091113
93	0.312993645
94	0.3128825244
95	0.3126617463
96	0.312444167
97	0.31229574
98	0.3121360463
99	0.3117966104
100	0.3114398208
101	0.3112383667
102	0.3109176079
103	0.3107409268
104	0.3105369203
105	0.3103469237
106	0.3101469627
107	0.3100160516
108	0.3098532559
109	0.3096494633
110	0.3093703348
111	0.3090143724
112	0.3086915052
113	0.3083240324
114	0.3081497791
115	0.3078205856
116	0.3076756228
117	0.307549507
118	0.3073032244
119	0.3071505298
120	0.3069278014
121	0.3067891417
122	0.3065408436
123	0.306280693
124	0.3060174647
125	0.305857125
126	0.3056817171
127	0.3053527203
128	0.305003737
129	0.3048654774
130	0.3045858186
131	0.3042812763
132	0.304022225
133	0.3037833273
134	0.3034487745
135	0.3031884463
136	0.3028950184
137	0.3027835606
138	0.3024958566
139	0.3022916864
140	0.3021571737
141	0.3019788019
142	0.3017519457
143	0.301344454
144	0.3009734379
145	0.3007393686
146	0.3005351579
147	0.3003534935
148	0.3001359709
149	0.2999618627
150	0.2998426924
151	0.29963228
152	0.2995029194
153	0.2993198657
154	0.2990870681
155	0.2989909325
156	0.2987103352
157	0.2984259694
158	0.2981251533
159	0.2978986503
160	0.2976974227
161	0.2975542978
162	0.2973485844
163	0.2970263963
164	0.2967713318
165	0.2964960289
166	0.2962516885
167	0.2960792851
168	0.2957613967
169	0.2955426866
170	0.2953899817
171	0.2952898234
172	0.2950270367
173	0.2947854875
174	0.2945156507
175	0.2942599065
176	0.293955119
177	0.2935684625
178	0.2933366719
179	0.2930287197
180	0.2927821923
181	0.2926656834
182	0.2925438837
183	0.2922637677
184	0.2921066817
185	0.2917509915
186	0.2915647615
187	0.2913797811
188	0.2912215223
189	0.2908598459
190	0.2907471041
191	0.2906118988
192	0.2904823891
193	0.2903564483
194	0.2902463386
195	0.2901406077
196	0.2898807176
197	0.2897469553
198	0.2893836278
199	0.2892963681
